number,category,title,slug,word_count,cta,image
"26","History & Heritage","A Student’s Introduction to the History of Brazil","student-introduction-history-brazil","1539","Study Portuguese with historical context","/assets/media/blog/student-introduction-history-brazil.svg"
"27","History & Heritage","Indigenous, African and European Influences in Brazilian Culture","indigenous-african-european-influences-brazil","1546","Learn culture with respect and depth","/assets/media/blog/indigenous-african-european-influences-brazil.svg"
"28","History & Heritage","How Migration Shaped Modern Brazil","migration-shaped-modern-brazil","1529","Connect language with people’s journeys","/assets/media/blog/migration-shaped-modern-brazil.svg"
"29","History & Heritage","Learning Portuguese Through Museums, Memory and Heritage","portuguese-museums-memory-heritage","1539","Turn a museum visit into a lesson","/assets/media/blog/portuguese-museums-memory-heritage.svg"
"30","History & Heritage","Historic Cities and Cultural Landscapes Worth Studying","historic-cities-cultural-landscapes-brazil","1521","Plan a culture-led Brazil experience","/assets/media/blog/historic-cities-cultural-landscapes-brazil.svg"
"31","Nature & Geography","Brazil’s Five Regions: A Geography Lesson You Can Live","brazil-five-regions-geography","1542","Explore Brazil through all five regions","/assets/media/blog/brazil-five-regions-geography.svg"
"32","Nature & Geography","Studying Language Through Brazil’s Landscapes and Climate","language-brazil-landscapes-climate","1584","Study Portuguese in the world around you","/assets/media/blog/language-brazil-landscapes-climate.svg"
"33","Nature & Geography","The Atlantic Forest, Parks and Environmental Learning","atlantic-forest-parks-environmental-learning","1554","Add environmental culture to your programme","/assets/media/blog/atlantic-forest-parks-environmental-learning.svg"
"34","Nature & Geography","Rivers, Coastlines and the Geography of Brazilian Life","rivers-coastlines-geography-brazil","1551","Discover the geography behind Brazilian life","/assets/media/blog/rivers-coastlines-geography-brazil.svg"
"35","Nature & Geography","How Nature Activities Can Become Language Homework","nature-activities-language-homework-brazil","1536","Learn beyond the classroom walls","/assets/media/blog/nature-activities-language-homework-brazil.svg"
"36","Practical Integration","Portuguese for Pharmacies, Clinics and Health Appointments","portuguese-pharmacies-clinics-health-appointments","1521","Prepare your health-communication Portuguese","/assets/media/blog/portuguese-pharmacies-clinics-health-appointments.svg"
"37","Practical Integration","Language for Emergencies: Building Calm and Confidence in Brazil","language-emergencies-brazil","1564","Learn the phrases that matter in urgent moments","/assets/media/blog/language-emergencies-brazil.svg"
"38","Practical Integration","Opening Your Life in Brazil: Documents, Services and Daily Systems","documents-services-daily-systems-brazil","1565","Build practical independence step by step","/assets/media/blog/documents-services-daily-systems-brazil.svg"
"39","Practical Integration","How to Ask for Help and Solve Problems in Portuguese","ask-for-help-solve-problems-portuguese","1563","Practise confident problem-solving","/assets/media/blog/ask-for-help-solve-problems-portuguese.svg"
"40","Practical Integration","Building Independence During Your First Months in Brazil","independence-first-months-brazil","1555","Plan your first months with support","/assets/media/blog/independence-first-months-brazil.svg"
"41","Festivals, Music & Arts","Carnival Beyond the Stereotypes: History, Music and Community","carnival-history-music-community-brazil","1556","Prepare for Carnival as a cultural learner","/assets/media/blog/carnival-history-music-community-brazil.svg"
"42","Festivals, Music & Arts","Festa Junina: Language, Food and Tradition in Brazil","festa-junina-language-food-tradition","1556","Make Brazilian traditions part of your study","/assets/media/blog/festa-junina-language-food-tradition.svg"
"43","Festivals, Music & Arts","Learning Portuguese Through Brazilian Music","learning-portuguese-brazilian-music","1520","Bring Brazilian music into your learning plan","/assets/media/blog/learning-portuguese-brazilian-music.svg"
"44","Festivals, Music & Arts","Film, Literature and Art as Windows into Brazilian Life","brazilian-film-literature-art-language-study","1555","Study Brazil through its storytellers","/assets/media/blog/brazilian-film-literature-art-language-study.svg"
"45","Festivals, Music & Arts","Cultural Events as a Classroom: How Students Learn by Participating","cultural-events-classroom-brazil","1531","Create your cultural-learning plan","/assets/media/blog/cultural-events-classroom-brazil.svg"
"46","Future & Personal Growth","What Living in Brazil Can Teach You About Adaptability","living-brazil-adaptability","1552","Build adaptability through language","/assets/media/blog/living-brazil-adaptability.svg"
"47","Future & Personal Growth","Studying Languages as an Investment in Your Future","language-study-investment-future","1541","Calculate your study investment","/assets/media/blog/language-study-investment-future.svg"
"48","Future & Personal Growth","How a Year in Brazil Can Change the Way You See the World","year-in-brazil-worldview","1555","Explore the complete 40-week journey","/assets/media/blog/year-in-brazil-worldview.svg"
"49","Future & Personal Growth","Becoming Part of a Community Through Language","community-belonging-through-language","1536","Study for connection and belonging","/assets/media/blog/community-belonging-through-language.svg"
"50","Future & Personal Growth","Your Brazil Chapter: From First Enquiry to Confident Participation","brazil-chapter-enquiry-confident-participation","1538","Begin your Brazil study chapter","/assets/media/blog/brazil-chapter-enquiry-confident-participation.svg"
